French,English
partie,part
histoire,history
seulement,only
pensais,thought
aide,help
demande,request
frère,brother
car,because
mettre,to put
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
heures,hours
pendant,while
place,square
compris,understood
savais,knew
étaient,were
donner,give
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
pardon,sorry
minutes,minutes
demandé,request
chambre,bedroom
droit,law
aimerais,would like to
mari,husband
eau,water
attendez,Wait
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
donne,given
fin,end
chérie,sweetheart
gros,large
filles,girls
jouer,to play
bureau,office
